Guguletu Community Health Clinic,"Gugulethu, Cape Town"
Haarlem Clinic,"Haarlem, WCDMA04"
Hanna Coetzee Clinic,"Vredenburg, Saldanha Bay"
Hanover Park Clinic,"Hanover Park, Cape Town"
Hanover Park Community Health Clinic,"Hanover Park, Cape Town"
Happy Valley Clinic,
Harmonie Clinic,"Kraaifontein, Cape Town"
Hartenbos Clinic,"Hartenbos, Mossel Bay"
Hawston Clinic,"Hawston, Overstrand"
Hazendal Clinic,"Hazendal, Cape Town"
Heidelberg Community Health Clinic,"Heidelberg, Langeberg"
Heideveld Clinic,"Heideveld, Cape Town"
Heideveld Community Health Clinic,"Heideveld, Cape Town"
Herbertsdale Satelite Clinic,"Mossel Bay , Eden"
Hermanus Clinic,"Hermanus, Overstrand"
Hermanus Hospital Primary Health Care Clinic,"Hermanus, Overstrand"
Hexberg Satellite Clinic and Mobile Clinic,"Paarl, Drakenstein"
Hillcrest Clinic (Kuilsriver),"Blue Downs, Cape Town"
Hillcrest Clinic (Wellington),"Wellington, Drakenstein"
Honeyside Clinic,"Athlone, Cape Town"
Hope Street Dental Clinic,"Cape Town, Western Cape"
Hopefield Municipality Clinic,"Hopefield, Saldanha Bay"
Hornlee Clinic,"Hornlee, Knysna Municipal Offices"
Hospital Street Clinic,"Wellington, Drakenstein"
Hout Bay Harbour Community Health Clinic,"Hout Bay, Cape Town"
Hout Bay Main Road Clinic,"Hout Bay, Cape Town"
Idas Valley Clinic,"Stellenbosch, Boland"
Ikwezi Clinic,"The Strand, Cape Town"
Jamestown Clinic,"Jamestown, Stellenbosch"
JJ Du Pre Clinic,"Paarl, Drakenstein"
Kalbaskraal Satellite Clinic,"Malmesbury, Swartland"
Karatara Satellite Clinic,"Knysna, Eden, Eden"
Kayamandi Clinic,"Stellenbosch, Boland"
Kensington Community Health Clinic,"Kensington, Cape Town"
Keurhoek Clinic,"Knysna Municipal Offices, Eden"
Khayelethu Clinic,"Khayelitsha, Cape Town"
Khayelitsha (Site B) Clinic,"Khayelitsha, Cape Town"
Khayelitsha (Site B) Community Health Clinic,"Khayelitsha, Cape Town"
Klaarstroom Clinic,"Klaarstroom, Prince Albert"
Klapmuts Clinic,"Klapmuts, Cape Town"
Klawer Municipality Clinic,"Klawer, Matzikama"
Klein Drakenstein Satellite Clinic,"Paarl, Drakenstein"
Klein Nederburg Clinic,"Paarl East, Drakenstein"
Kleinmond/Betty's Bay Clinic,"Kleinmond, Overstrand"
Kleinvlei Community Health Clinic/Clinic,"Kleinvlei, Cape Town"
Klip Road Clinic,"Grassy Park, Cape Town"
Knysna Town Clinic,"Knysna Municipal Offices, Eden"
Koekenaap Satellite Clinic,"Lutzville, Matzikama"
Koringberg Satellite Clinic,"Piketberg, Bergrivier"
Kraaifontein Community Health Clinic,"Kraaifontein, Cape Town"
Kranshoek Clinic,"Bitou, Eden"
Kuilsriver (Carinus Street) Clinic,"Kuils River, Cape Town"
